Abbondanza;22/01/2016;18;no;no;[Lauralie, Eloée, Jaione, Ludovica, Gilda, Iolanda, Gürcan, Şükran, Rebecca, Perfecta, Ülker, Susanna, Rosamaria, Délphine, Marcella, Druina, Francine, Valeria]
Acelya;27/02/2016;8;no;no;[Rengin, Reyyan, Tina, Lale, Simona, Vesile, Danièle, Diodata]
Acilia;19/12/2014;16;yes;yes;[Azmiye, Uliva, Prospera, Fiammetta, Mukaddes, Clarissa, Zoélie, Acilia, Özlem, Elodie, Cassandre, Mireya, Evelyne, Beniamina, Lourdes, Paquita]
Ada;25/10/2015;8;yes;no;[Innocenza, Jacotte, Acilia, Valérie, Loretta, Narcisa, Aldonsa, Babila]
Adalberta;26/01/2015;11;no;yes;[Nurhan, Ascencion, Xavière, Sevim, Audrey, Gönül, Mercede, Lalie, Constance, Adeline, Glenda]
Adalet;04/05/2016;14;yes;yes;[Serafina, Diodata, Idurre, Doda, Sevim, Beatriz, Melike, Claudine, Moira, Fedora, Margarita, Altea, Laurentine, Gisèle]
Adalgisa;08/03/2015;6;yes;no;[Mahfuze, Agnese, Graziella, Semiramis, Ester, Monica]
Addolorata;05/07/2015;3;no;no;[Louise, Sevval, Pabla]
Adelaide;09/03/2016;7;yes;no;[Manda, Natalina, Semiha, Clodovea, Marica, Rosario, Mirabelle]
Adelasia;25/07/2016;18;yes;no;[Birsen, Dürdane, Gaspara, Banu, Amalur, Andeana, Roana, Devera, Lucienne, Stella, Fahrunissa, Marta, Heves, Iolanda, Marlène, Mafalda, Güzin, Angelina]
Adele;02/02/2016;6;yes;no;[Manda, Giada, Vilma, Alexia, Berenice, Martine]
Adelina;30/09/2015;10;no;no;[Ülkü, Neta, Catena, Zoe, Délphine, Vicdan, Jacinta, Carmita, Liliane, Paulette]
Adeline;07/11/2014;10;no;no;[Ines, Claudine, Lolie, Suzan, Délphine, Simge, Consuela, Foca, Leyla, Lucilla]
Adelita;03/09/2015;2;yes;no;[Maitea, Sabiha]
Adile;05/11/2014;14;yes;yes;[Rana, Siren, Mareta, Latife, Sabite, Esin, Faustine, Isabel, Damienne, Sabrina, Kader, Huri, Olcay, Anastasie]
Adina;07/06/2016;21;no;yes;[Alonsa, Melda, Angèle, Ileana, Veneranda, Estella, Deina, Roana, Lucrèce, Mariquita, Jacinta, Carine, Amaia, Ernesta, Gabrielle, Atalaya, Sülen, Michèle, Dulcinea, Eloée, Domenica]
Adoracion;22/11/2015;7;yes;no;[Eloisa, Tabora, Ildegonda, Flavie, Ria, Ainhoe, Loanne]
Adria;02/02/2015;16;yes;no;[Filipa, Damla, Betta, Izazkun, Maëva, Gizem, Emilie, Pia, Polissena, Benedetta, Müge, Neşe, Seçil, Egizia, Hümeyra, Nihal]
Adriana;06/03/2015;13;no;no;[Pabla, Brunilde, Mirari, Solmaz, Athalia, Sabine, Maude, Cipriana, Edda, Cleopatra, Aleta, Orietta, Perran]
Adèle;06/11/2015;18;no;no;[Kamile, Izarre, Fugen, Ludovica, Tayyibe, Guadalupe, Feray, Onesta, Alegria, Seina, Osanna, Albertina, Belen, Rainelda, İlknur, Moira, Arama, Gülpembe]
Adélaïde;08/11/2015;9;yes;no;[Sevda, Dafne, Juliette, Seda, Bénédicte, Rossella, Bartolomea, Cipriana, Nadide]
Afet;07/06/2015;21;no;yes;[Mehpare, Eliana, Miranda, Clemenzia, Behice, Sabite, Seden, Gertrudis, Alameda, Trella, Desideria, Séraphine, Carmencita, Angélique, Iolanda, Marcelle, Kevser, Albertine, Morgana, Beatrice, Irune]
Agacia;03/06/2016;16;yes;no;[Isabelle, Ilva, Magali, Théoline, Elena, Sevval, Flavie, Alcina, Claralie, Leyla, Immacolata, Annie, Mora, Faqueza, Carmelita, Délphine]
Agata;25/06/2016;5;yes;no;[Güldeste, Josune, Adriana, Seyhan, İlksen]
Agathe;15/12/2015;8;yes;no;[Flavienne, Iris, Aurkena, Natalia, Melosa, Müberra, Venusta, Morgaine]
Aglaé;17/04/2015;17;no;no;[Romana, Alegria, Trella, Ines, Giuliana, Bastienne, Şaziye, Céline, Antonia, Gezana, Berta, Serra, Zoe, Blanca, Şelale, Ramona, Idea]
Agnese;20/07/2016;24;no;yes;[Çiçek, İlksen, Joséphine, Estelle, Dolorita, Sümeyya, Meltem, Lorenza, Francisca, Filippa, Bibiane, Edda, Orsola, Stefania, Atanasia, Joséphine, Romilda, Maura, Azize, Orsolina, Ninfa, Estela, Laura, Fiammetta]
